Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$,Category
Chequing,*********8385,2022-12-01,,LOAN,RBC LOAN PYMT ,-119.32,,
Chequing,*********8385,2022-12-16,,WWW TRF DDA - 2295,,-2000.0,,
Chequing,*********8385,2022-12-16,,Transfer,WWW TRANSFER - 1009 ,-140.0,,
Chequing,*********8385,2022-12-16,,Transfer,WWW TRANSFER - 2214 ,-650.0,,
Chequing,*********8385,2022-12-19,,WWW PAYMENT - N9648,,-113.83,,
Chequing,*********8385,2022-12-23,,MONTHLY FEE,,-11.95,,
Chequing,*********8385,2022-12-28,,Withdrawal,PTB WD --- ME582995 ,-300.0,,
Savings,*********6493,2022-12-19,,WWW TRF DDA - 5398,,-220.0,,
Visa,*********6571,2022-12-02,,LULULEMONCOM* 877-263-9300 BC,,-89.68,,
Visa,*********6571,2022-12-03,,PHARMAPRIX #1912 MONTREAL QC,,-17.05,,shopping
Visa,*********6571,2022-12-03,,METRO ETS 2416 MONTREAL QC,,-21.93,,grocery1
Visa,*********6571,2022-12-03,,MCDONALD'S #40371 MONTREAL QC,,-4.82,,food
Visa,*********6571,2022-12-03,,AIRBNB * HMZJN8ZPQZ AIRBNB.COM,,-218.08,,
Visa,*********6571,2022-12-05,,LULULEMONCOM* 877-263-9300 BC,,-158.67,,
Visa,*********6571,2022-12-06,,ADONIS GRIFFINTOWN MONTREAL QC,,-19.84,,grocery1
Visa,*********6571,2022-12-07,,L'OEUFRIER CHABANEL MONTREAL QC,,-22.41,,
Visa,*********6571,2022-12-10,,STM COTE VERTU DAN104 MONTREAL QC,,-31.5,,transport
Visa,*********6571,2022-12-10,,IGA EXTRA VALLEE LACHINE QC,,-25.27,,grocery1
Visa,*********6571,2022-12-11,,MEGAPLEX SPHERETECQPS SAINT LAURENTQC,,-13.5,,
Visa,*********6571,2022-12-11,,DECATHLON MONTREAL EATON MONTREAL QC,,-8.05,,shopping
Visa,*********6571,2022-12-11,,DOLLARAMA # 314 MONTREAL QC,,-1.15,,
Visa,*********6571,2022-12-11,,PHARMAPRIX #1825 MONTREAL QC,,-4.01,,shopping
Visa,*********6571,2022-12-11,,SEPHORA STE CATHERINE MONTREAL QC,,-73.58,,food
Visa,*********6571,2022-12-13,,STAPLESPRINT.CA RICHMOND HILLON,,-5.74,,
Visa,*********6571,2022-12-14,,ADONIS GRIFFINTOWN MONTREAL QC,,-15.18,,grocery1
Visa,*********6571,2022-12-14,,ROCH LE COQ MONTREAL QC,,-13.53,,
Visa,*********6571,2022-12-15,,TIM HORTONS #7285 MONTREAL QC,,-4.99,,food
Visa,*********6571,2022-12-15,,McDonalds 40371 MONTREAL QC,,-10.57,,food
Visa,*********6571,2022-12-16,,VUA SANDWICHES MONTREAL QC,,-7.18,,food
Visa,*********6571,2022-12-18,,CSH SAINT-JOSEPH QUEBEC CITY QC,,-7.07,,
Visa,*********6571,2022-12-18,,CHEZ ASHTON CENTRE VIL QUEBEC QC,,-9.6,,
Visa,*********6571,2022-12-24,,IKEA MONTREAL SAINT-LAURENTQC,,-9.17,,
Visa,*********6571,2022-12-24,,IKEA MONTREAL SAINT-LAURENTQC,,-45.92,,
MasterCard,*********5039,2022-12-03,,AMZN Mktp CA*4D6H98JO3 WWW.AMAZON.CAON,,-27.58,,shopping
MasterCard,*********5039,2022-12-08,,APPLE.COM/BILL 866-712-7753 ON,,-4.59,,shopping
MasterCard,*********5039,2022-12-12,,AMZN Mktp CA*EE5PL7RD3 WWW.AMAZON.CAON,,-48.59,,shopping
MasterCard,*********5039,2022-12-14,,AMZN Mktp CA*XE6U87G73 WWW.AMAZON.CAON,,-56.43,,shopping
MasterCard,*********5039,2022-12-16,,HTTPS://POUBELLEDUSKI. MONTREAL QC,,-287.44,,
